AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,DateTime
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:58 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:58 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:59 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:59 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:59 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:59 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:00 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:00 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:00 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:00 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:01 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:01 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:01 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:01 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:01 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:02 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:02 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:02 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:02 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:02 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:02 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:03 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:03 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:03 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:03 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:03 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:04 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:04 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:04 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:04 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:04 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:05 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:05 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:05 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:05 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:05 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:06 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:06 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:06 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:06 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:06 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:07 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:08 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:08 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:08 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:08 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:08 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:08 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:09 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:09 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:09 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:09 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:09 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:10 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:10 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:10 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:10 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:10 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:11 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:11 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:11 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:11 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:12 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:12 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:12 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:12 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:12 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:13 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:13 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:13 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:13 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:14 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:14 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:14 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:14 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:14 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:14 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:14 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:15 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:15 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:15 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:15 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:16 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:16 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:16 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:16 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:16 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:16 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:17 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:17 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:17 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:17 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:18 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:18 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:18 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:18 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:19 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:19 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:19 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:19 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:20 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:20 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:20 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:20 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:20 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:01:20 PM,
