OpenEye, AlphaO1, BetaO1, DominantFreqO1, AlphaF3, BetaF3, AlphaF4, BetaF4, AlphaF7, BetaF7, AlphaF8, BetaF8, AlphaAF3, BetaAF3, AlphaAF4, BetaAF4, AlphaFC5, BetaFC5, AlphaFC6, BetaFC6, AlphaP7, BetaP7, AlphaP8, BetaP8, AlphaT7, BetaT7, AlphaT8, BetaT8 
False,17.8585978446839, 36.3642591293918,25,6.26349786843938, 7.62134738809074,4.91798789436055, 11.2444834686347,13.4542000050848, 21.6106750885655,2.02777420564085, 3.60896942046784,3.21116664997333, 6.53785539305073,4.15991468698545, 7.81898416255467,4.88492060977204, 7.12810780034567,5.5273008569527, 6.68878784675004,18.580778834478, 25.6433419201173,21.2149556484593, 31.0297142156809,25.3472573288959, 29.4499497619936,29.8769874781034, 45.0897538585902,
False,23.8968847750318, 40.9238308457547,29,6.60610971805234, 8.94250334775422,7.16325997063731, 8.92659987213027,29.9993051222341, 34.2646885925386,2.02777420564085, 3.60896942046784,2.21268112525886, 7.42810500538056,5.05091088673002, 7.93206381197489,4.67596467869372, 6.35659380906765,4.25245727821226, 6.54918471116811,20.0503692422686, 26.6112857375615,22.2603066724486, 28.9579685931234,18.4788269279512, 28.4836145098428,37.7513402903044, 44.2590857499735,
False,20.9362317001115, 36.7518240186018,29,5.45713057585044, 8.65814707501256,5.10464361771499, 9.70617183656124,39.0348148502494, 37.7677998768868,0, 0,4.12875700014367, 6.99330349203029,5.15669085086452, 5.7411771603673,3.28037762023231, 7.44587954849239,7.95017604162356, 6.65288587002499,20.3605133729284, 23.9191360848103,21.7960897409689, 28.7347637708382,17.3197353038604, 31.3302530034299,31.2092938059037, 55.4438115680209,
False,24.0291657299347, 31.9297529370283,12,4.63106322100084, 10.0785291066035,7.7225696893433, 10.0553906473231,41.8705589359509, 38.2101404476911,0, 0,3.31596270075205, 6.69624248730103,7.21087236428954, 8.71634318965467,2.84062983397995, 7.76594168769013,4.7152427571502, 8.53631881203349,23.9929223220038, 29.0107701848578,24.8168583441134, 38.1040622269801,23.9881228135972, 34.3399300253539,28.3317500092431, 54.3224359400547,
False,62.4695077097489, 31.4194392649108,11,6.71249987402865, 10.5658981161419,7.11793483335356, 7.91659295271755,36.0480094047378, 52.9317397182804,0, 0,2.79219200313009, 6.38551882153225,6.64729978195682, 8.06762334912526,1.73486636913498, 7.36591663429005,6.16393382690565, 6.88941292906006,49.9021165202998, 30.2705540643175,68.7473181300525, 36.9817792881043,36.1558899864639, 35.6500020938958,50.8565453426247, 52.5662998391087,
False,63.8710000473705, 40.2174797934143,12,7.19263239922081, 10.4129306720378,4.44699579165635, 7.23199208909058,25.7792693739046, 25.6871801338965,0, 0,2.68143401841848, 6.73154290392183,2.59579433778226, 5.31154862640758,2.57695363761638, 7.789597856831,5.85322763690932, 5.69266408922574,54.4976883687185, 27.0948770269579,78.1696606114416, 34.335546246974,40.1130055779823, 32.5234020821785,58.9005008709938, 49.4134589867365,
False,42.0056715080994, 35.1293506675499,12,5.17305549033264, 8.52298539563506,5.48846138249056, 8.95389685520812,7.88562988452277, 18.9501933940492,0, 0,2.70394219757289, 7.01843059929149,2.92577072801427, 4.71429886079967,4.38431204245841, 7.83454474097465,5.5064710246758, 7.9335589459728,44.8207612936767, 24.852442038676,55.8494134400164, 40.3834081735773,26.590279743587, 36.2838803948131,35.6648169869406, 47.9449729515094,
False,51.4793509158589, 35.7151694824029,11,4.94184104496077, 9.19669458181694,8.47501943915117, 12.8872488907268,18.8974593709893, 23.4373709457444,0, 0,2.63971701314376, 5.53034396563617,5.89587131713123, 8.87552620978463,5.82365179009137, 6.62657129945546,4.00824433834752, 5.88965830066236,49.1415684577342, 24.9584486028862,68.6129507508092, 34.3519115669122,27.5587122506296, 32.9250532636956,36.6082289088804, 48.6452045341233,
False,53.2073198261108, 41.4929219207258,11,5.13168137226246, 9.47709993795119,7.83314624523427, 11.4706350361233,16.3095939327777, 20.0679991443387,0, 0,2.45749560026341, 6.19195477645074,4.53420067589394, 10.1933447009599,3.62238511765143, 5.43280041437358,4.38702984148903, 7.03104505838177,46.4333522325521, 31.9178899104426,85.3985702177506, 41.1712668800131,33.6879376210703, 30.8597152440302,68.8062661855888, 48.9738460984089,
False,44.8649010889343, 39.3010364447846,11,5.20839797084145, 8.06343394527035,7.25314467707829, 7.78719626987742,9.56708893383473, 16.490628889683,0, 0,2.27509038881338, 5.4267028139535,3.15183585060955, 6.0951522815223,5.05098516953986, 8.78039955932329,6.57172055176985, 7.15086821811926,41.9152148537351, 27.207114801613,74.2982376450781, 40.4972101214863,31.4744341508778, 33.0033073074175,72.1238651084557, 52.2821426183197,
