AlphaO1, BetaO1, DominantFreqO1, AlphaF3, BetaF3, AlphaF4, BetaF4, AlphaF7, BetaF7, AlphaF8, BetaF8, AlphaAF3, BetaAF3, AlphaAF4, BetaAF4 
51.0258600763818, 32.9309696830646,12,2.05094921011207, 2.16227004684449,6.47889852878204, 8.89312350702453,13.1161763933685, 19.7825330976789,0, 0,1.82949383700018, 4.56297843460244,2.79355381331075, 3.67553454769276,
58.5372824452615, 35.4420791552482,12,1.30042350138505, 1.49635650814562,6.04197811863424, 8.40340151809511,19.244548288539, 16.8633669492207,0, 0,1.99269553374268, 5.19505502165951,2.15730751391969, 3.94210218463755,
54.7526713166438, 36.030310039234,11,1.4270396057597, 1.92435194955983,9.35621274112325, 13.2240875811497,18.5775987583444, 16.3886749537675,0, 0,2.56423275407504, 4.85610745237832,2.59591444676971, 5.30111646426199,
44.4128178138441, 25.1087636257352,12,1.59400180801433, 2.15164888868421,8.62543241776698, 12.6977512211813,13.3072911885138, 18.819051630757,0, 0,3.13129003998754, 5.20258529963209,3.87624084400951, 5.61949023306702,
32.499130894771, 23.0190960734808,11,1.05982893597331, 0.928450303769218,4.45435639370091, 9.83790550363253,6.97819539759473, 14.647467493076,0, 0,2.55482465609053, 4.56136431971848,3.3653124893604, 4.4550028473139,
21.5529039369513, 17.9315697078699,8,1.76656264465324, 2.25729347426615,8.29677738078436, 11.1719976633898,2.4225851416113, 5.8375085653985,0, 0,3.11030789413247, 5.25967889454351,2.74531598101446, 4.85300938153439,
20.5416000989485, 27.8729932550627,4,2.14797390497123, 2.6885303957763,10.7539043523467, 11.5881428663868,4.4208601214853, 6.06850256529948,0.373849710601849, 0.612468751303331,2.72710058694226, 5.04737949122627,3.53837103614831, 6.35015399258596,
34.7485421761657, 41.9569586595725,12,6.42695496740067, 8.15558654471713,7.06379289601071, 12.3897417627361,8.56815855486846, 14.5270897839014,1.84547857131697, 3.11041819673611,4.90859884238511, 8.60347733697455,7.50268900065328, 15.9790927344912,
35.8267661908106, 41.8511955021029,11,8.04221860983732, 10.7660154894125,7.20264601329709, 11.2096420272772,12.9837951644032, 16.8664866577236,3.60161078116038, 4.11337006567671,5.06224315825487, 8.74044216349328,7.529016434049, 17.5384895503437,
31.396409460569, 39.2287118088121,12,5.08143011525026, 8.73607176225353,7.33366187665081, 10.6014613556081,16.2984187912624, 13.045964093223,3.15250770284553, 2.94116751183569,6.82903976538805, 10.041089267684,6.99414707386315, 11.9752745110519,
40.3042888132657, 39.7032142604157,11,6.22972061060229, 8.53484222880695,7.60114238055198, 11.2726052962184,14.0916425206242, 13.4459379396985,5.41626489357635, 6.08912408960895,7.12163222180423, 9.65240970771603,5.88606099364214, 11.8462355339052,
24.9561230997187, 31.2480285023975,4,6.73560234683302, 9.33902418319899,5.27914783458771, 13.6591978282905,7.88708771865424, 11.5348227555469,5.27754774463392, 6.06833609140661,8.27819243819016, 7.50264909818943,6.51648341074312, 14.8678967765124,
